lat,lon,rainfall,temp,humidity,dist_river,landuse,building_density,flood
30.25,77.95,73,307.95,10,594.0476717568863,residential,0.0,0
30.25,77.97,31,307.98,10,756.1360712311946,grass,0.0,0
30.25,77.99,0,307.98,10,155.59931281300777,military,0.0,0
30.25,78.00999999999999,96,308.21,10,484.59466822150375,military,0.0,1
30.25,78.02999999999999,27,308.49,10,319.5121849138776,residential,0.0,0
30.25,78.04999999999998,59,308.49,10,306.5717269584724,industrial,0.0,0
30.25,78.06999999999998,13,308.07,11,1151.1034955697555,retail,0.0,0
30.25,78.08999999999997,31,308.07,11,298.33038677795525,commercial,0.0,0
30.25,78.10999999999997,75,308.19,11,300.96830899150234,residential,0.0,0
30.25,78.12999999999997,82,307.95,11,659.4886928412066,residential,0.0,1
30.25,78.14999999999996,34,307.95,11,20.8174059062857,residential,0.0,0
30.27,77.95,94,308.63,10,936.625194997008,residential,0.0,0
30.27,77.97,25,308.56,10,396.4306270620229,residential,0.0,0
30.27,77.99,0,308.56,10,518.4474619377169,grass,27.0,0
30.27,78.00999999999999,0,308.32,11,169.6371714105647,military,0.0,1
30.27,78.02999999999999,0,308.16,11,755.1508823283593,residential,3.0,1
30.27,78.04999999999998,50,308.16,11,23.86134629160804,residential,11.0,0
30.27,78.06999999999998,0,307.9,11,1075.4400108035595,retail,7.0,0
30.27,78.08999999999997,0,307.9,11,204.27578243124864,residential,0.0,0
30.27,78.10999999999997,0,307.77,11,1778.6031778313704,residential,0.0,0
30.27,78.12999999999997,32,307.63,11,70.10685086516679,residential,0.0,0
30.27,78.14999999999996,21,307.63,11,1194.7022733914923,residential,0.0,1
30.29,77.95,76,308.63,10,385.363103607031,grass,0.0,0
30.29,77.97,0,308.56,10,126.85359300862,grass,0.0,1
30.29,77.99,84,308.56,10,803.23438040177,forest,0.0,1
30.29,78.00999999999999,0,308.32,11,624.1421228193861,grass,0.0,1
30.29,78.02999999999999,96,308.16,11,1243.6659456258026,railway,1.0,1
30.29,78.04999999999998,88,308.16,11,303.8425279633867,farmland,2.0,0
30.29,78.06999999999998,10,307.9,11,1240.7530717728073,farmland,99.0,0
30.29,78.08999999999997,0,307.9,11,371.5945243847609,residential,0.0,0
30.29,78.10999999999997,0,307.77,11,831.9422751431736,reservoir,0.0,1
30.29,78.12999999999997,20,307.63,11,264.8611370393936,residential,0.0,0
30.29,78.14999999999996,28,307.63,11,1097.0392709011892,residential,0.0,0
30.31,77.95,0,308.59,10,1072.4243569694468,residential,0.0,1
30.31,77.97,0,308.3,10,1958.880920028085,residential,0.0,1
30.31,77.99,8,308.3,10,831.8593239199473,residential,7.0,0
30.31,78.00999999999999,100,308.0,11,545.6431797281515,residential,3.0,0
30.31,78.02999999999999,9,307.77,11,1212.3649747981085,farmland,0.0,0
30.31,78.04999999999998,30,307.77,11,1135.211991516066,cemetery,9.0,0
30.31,78.06999999999998,50,307.46,11,475.79344829884326,residential,804.0,1
30.31,78.08999999999997,0,307.46,11,359.79426100075,residential,80.0,0
30.31,78.08999999999997,26,307.46,11,359.79426100075,residential,80.0,0
30.31,78.10999999999997,0,306.89,11,594.8076262473708,reservoir,0.0,0
30.31,78.12999999999997,0,305.37,12,1300.3414054173163,reservoir,0.0,0
30.31,78.14999999999996,5,305.37,12,982.141977437188,residential,0.0,1
30.33,77.95,57,308.35,10,1193.3501502167856,forest,0.0,1
30.33,77.95,57,308.35,10,1193.3501502167856,forest,0.0,0
30.33,77.97,0,308.18,11,1253.9332976022915,industrial,42.0,0
30.33,77.99,19,308.18,11,2263.1856776300538,forest,145.0,0
30.33,78.00999999999999,0,307.94,11,988.9661848310616,forest,24.0,0
30.33,78.02999999999999,75,307.29,11,331.742493204943,construction,66.0,0
30.33,78.04999999999998,30,307.29,11,596.1788850580663,forest,94.0,0
30.33,78.04999999999998,54,307.29,11,596.1788850580663,forest,94.0,1
30.33,78.06999999999998,64,306.91,12,57.78660875576428,grass,5.0,1
30.33,78.08999999999997,63,306.91,12,635.2525986473019,residential,88.0,0
30.33,78.08999999999997,63,306.91,12,635.2525986473019,residential,88.0,1
30.33,78.10999999999997,98,306.6,12,4.1159302659002,residential,0.0,1
30.33,78.12999999999997,0,305.47,13,910.0214833602106,residential,0.0,1
30.33,78.14999999999996,79,305.47,13,721.8734881844462,residential,0.0,1
30.35,77.95,0,308.35,10,459.0624744923271,forest,0.0,0
30.35,77.95,0,308.35,10,459.0624744923271,forest,0.0,0
30.35,77.97,0,308.18,11,159.0009501118783,forest,2.0,0
30.35,77.97,0,308.18,11,159.0009501118783,forest,2.0,0
30.35,77.99,61,308.18,11,215.627137275748,forest,1.0,1
30.35,78.00999999999999,0,307.94,11,708.2760149664928,forest,45.0,0
30.35,78.02999999999999,80,307.29,11,916.6127571460032,military,89.0,1
30.35,78.04999999999998,58,307.29,11,249.8343948372418,commercial,131.0,1
30.35,78.06999999999998,21,306.91,12,259.85332905857314,forest,462.0,0
30.35,78.08999999999997,65,306.91,12,420.12391448532,grass,1.0,0
30.35,78.10999999999997,66,306.6,12,262.7903616908776,residential,0.0,0
30.35,78.12999999999997,28,305.47,13,661.6685347269495,residential,0.0,0
30.35,78.14999999999996,76,305.47,13,969.5788436324112,residential,0.0,0
30.37,77.95,91,307.83,11,1600.262898560988,forest,0.0,0
30.37,77.95,91,307.83,11,1600.262898560988,forest,0.0,1
30.37,77.97,53,307.46,11,31.212384256678376,forest,0.0,1
30.37,77.97,53,307.46,11,31.212384256678376,forest,0.0,1
30.37,77.99,44,307.46,11,282.0549030991253,forest,0.0,0
30.37,78.00999999999999,6,307.11,11,53.63132467118062,forest,1.0,1
30.37,78.02999999999999,82,306.17,12,684.8683946326635,forest,0.0,0
30.37,78.04999999999998,0,306.17,12,235.57565147890813,forest,0.0,1
30.37,78.06999999999998,0,306.29,12,12.88536110850982,construction,8.0,0
30.37,78.08999999999997,0,306.29,12,491.6877637591834,commercial,1.0,0
30.37,78.10999999999997,0,305.9,13,125.86350558487392,residential,0.0,0
30.37,78.12999999999997,0,304.17,14,1313.5702889387524,residential,0.0,1
30.37,78.14999999999996,0,304.17,14,202.13542918319877,farmland,0.0,0
30.39,77.95,50,307.43,11,1880.192671866864,forest,0.0,0
30.39,77.95,50,307.43,11,1880.192671866864,forest,0.0,1
30.39,77.97,0,306.73,11,7.692018006209942,forest,0.0,0
30.39,77.99,0,306.73,11,341.6435790654941,forest,0.0,1
30.39,77.99,0,306.73,11,341.6435790654941,forest,0.0,0
30.39,78.00999999999999,96,306.82,12,989.6105403575104,forest,0.0,0
30.39,78.00999999999999,73,306.82,12,989.6105403575104,forest,0.0,0
30.39,78.02999999999999,48,306.54,12,20.48089150254357,forest,0.0,0
30.39,78.04999999999998,71,306.54,12,147.6739473602886,construction,0.0,1
30.39,78.06999999999998,0,305.55,13,40.599218500106645,construction,0.0,0
30.39,78.08999999999997,0,305.55,13,577.0951772121022,construction,1.0,0
30.39,78.10999999999997,32,304.58,13,1151.810140968833,residential,0.0,0
30.39,78.12999999999997,0,303.37,15,171.976207505534,residential,0.0,0
30.39,78.14999999999996,0,303.37,15,1386.4515979816024,farmland,0.0,1
30.41,77.95,41,306.18,11,1064.298436930284,forest,0.0,0
30.41,77.95,14,306.18,11,1064.298436930284,forest,0.0,1
30.41,77.97,24,305.49,11,642.1002790859644,forest,7.0,0
30.41,77.99,0,305.49,11,4.455178891375454,forest,0.0,0
30.41,77.99,11,305.49,11,4.455178891375454,forest,0.0,0
30.41,78.00999999999999,0,304.12,12,44.93446185251421,forest,0.0,0
30.41,78.00999999999999,34,304.12,12,44.93446185251421,forest,0.0,0
30.41,78.02999999999999,0,303.35,13,636.5921226160235,forest,0.0,0
30.41,78.04999999999998,0,303.35,13,372.4605572184682,forest,0.0,0
30.41,78.06999999999998,10,301.63,13,773.7571611440859,construction,55.0,0
30.41,78.08999999999997,0,301.63,13,278.1298149996055,construction,0.0,1
30.41,78.10999999999997,55,300.17,14,743.9992852435121,construction,0.0,0
30.41,78.12999999999997,62,300.15,16,154.81080248287518,construction,0.0,0
30.41,78.14999999999996,0,300.15,16,819.4837670563788,farmland,0.0,0
30.43,77.95,0,306.18,11,252.67578638763132,forest,0.0,0
30.43,77.95,0,306.18,11,252.67578638763132,forest,0.0,0
30.43,77.97,70,305.49,11,714.6134287831163,forest,0.0,0
30.43,77.97,70,305.49,11,714.6134287831163,forest,0.0,0
30.43,77.99,83,305.49,11,201.32419694968792,forest,0.0,0
30.43,77.99,0,305.49,11,201.32419694968792,forest,0.0,1
30.43,78.00999999999999,0,304.12,12,132.28042571908816,forest,0.0,0
30.43,78.00999999999999,0,304.12,12,132.28042571908816,forest,0.0,0
30.43,78.02999999999999,55,303.35,13,238.2810524404248,forest,0.0,1
30.43,78.04999999999998,0,303.35,13,352.94124729575447,forest,0.0,0
30.43,78.06999999999998,0,301.63,13,174.84195416899874,quarry,0.0,0
30.43,78.08999999999997,0,301.63,13,224.312073961466,plant_nursery,0.0,0
30.43,78.10999999999997,0,300.17,14,665.9352534361866,plant_nursery,0.0,0
30.43,78.12999999999997,0,300.15,16,56.21175347164884,construction,0.0,0
30.43,78.14999999999996,64,300.15,16,355.7258424101183,construction,0.0,0
30.45,77.95,37,304.48,11,90.92343481277804,forest,0.0,0
30.45,77.95,37,304.48,11,90.92343481277804,forest,0.0,0
30.45,77.97,5,299.18,12,141.8081687985777,forest,0.0,0
30.45,77.97,57,299.18,12,141.8081687985777,forest,0.0,1
30.45,77.99,57,299.18,12,691.3932781608669,forest,0.0,0
30.45,77.99,57,299.18,12,691.3932781608669,forest,0.0,0
30.45,78.00999999999999,0,300.88,12,14.323226986919249,forest,0.0,1
30.45,78.00999999999999,0,300.88,12,14.323226986919249,forest,0.0,1
30.45,78.02999999999999,48,298.44,13,973.9052043997458,forest,0.0,0
30.45,78.02999999999999,83,298.44,13,973.9052043997458,forest,0.0,0
30.45,78.04999999999998,0,298.44,13,1106.3621876787222,grass,0.0,0
30.45,78.06999999999998,0,297.48,14,1677.092197632473,residential,1.0,0
30.45,78.08999999999997,0,297.48,14,341.6528489043667,residential,4.0,0
30.45,78.10999999999997,0,297.13,15,411.4393063712629,residential,1.0,1
30.45,78.12999999999997,0,298.34,17,492.6890747171005,residential,0.0,1
30.45,78.14999999999996,0,298.34,17,21.560876141582764,construction,0.0,0
